Product,Advertised Weight (oz)
Osprey Atmos 65 Liter Pack,74.25
North Face Furnace 0 Degree 6.5ft,49.6
Sea To Summit Waterproof Compression Bag Medium 14L,3.2
Big Agnes Q-Core Deluxe Sleeping Pad,30
Big Agnes Pumphouse Ultra Inflation Bag,2.9
Trekology Ultralight Inflatable Pillow,3.5
MSR Windburner Stove System,15.5
Sea To Summit X-Mug,2.1
Humangear GoBites Trio Utensil Set,3.24
MSR IsoPro Fuel Canister 110g,7.4
Sea To Summit Lightweight Dry Sack 20L ,3.2
Petzl Tikka Headlamp,3
Petzl Core Rechargable Battery,0.81
The North Face Apex+ Etip Gloves,8
Buff Midweight Merino Wool ,1.7
REI Co-op Nalgene,6.2
Mountain Hardwear Ghost Whisperer 2 Hoodie XXL,8.8
Patagonia R1 Pullover Hoodie,11
Arc'Teryx Gamma LT Pants,11.8
Injinji Toe Socks,1.3
Darn Tough Socks,3.3
The North Face Hedgehog GTX Hiking Boots,38
Anker 10000 maH Power Bank,6.9
Smartwool Merino Sport 250 Reversible Beanie,1.4
Smartwool Merino 250 Base Layer Crew Top,11.9
Smartwool Merino 250 Base Layer Bottoms,8.5
Smartwool Merino 150 Boxer Briefs,3
Katadyn BeFree Water Filter Bottle,2.3
Snowline Chainsen Pro Krampons,12.5
Smartwool Mountaineering Socks,5.8
Osprey UltraLight Pack Raincover XL,3.4
First Aid Kit,3